adm1,adm2,fixed_cost,fixed_cost_pp,four_cycle_cost,cost_per_cycle,cost_per_cycle_pp,total_operations,total_operations_pp,SPQA doses needed (number of children per district x 4),Cost of SPAQ ($0.30/dose or  0.25€ / dose),Total SMC cost (operational + SPAQ),year,pop_u5,four_cycle_cost_pp,imputation_method
BAGOUE,BOUNDIALI,46786.77,1.2992819195277039,119390.75,29847.6875,0.8288787772368782,166177.52,4.614797028475216,144038.85499155486,36009.713747888716,202187.2337478887,2025,36009.713747888716,3.315515108947513,population_weighted_mean
BAGOUE,KOUTO,46158.9,1.4675710463344442,108683.2,27170.8,0.8638654600899051,154842.1,4.923032886694065,125810.33160961085,31452.58290240271,186294.6829024027,2025,31452.58290240271,3.4554618403596202,population_weighted_mean
BAGOUE,TENGRELA,41639.61320176982,1.4482316434449864,105328.08365077485,26332.02091269371,0.9158314160323975,146967.69685254467,5.111557307574577,115008.15740421037,28752.039351052594,175719.73620359728,2025,28752.039351052594,3.66332566412959,population_weighted_mean
FOLON,KANIASSO,25615.37453080842,1.4482316434449864,64794.50945553553,16198.627363883883,0.9158314160323975,90409.88398634395,5.111557307574576,70749.38500825946,17687.346252064865,108097.23023840881,2025,17687.346252064865,3.66332566412959,population_weighted_mean
FOLON,MINIGNAN,18068.36028143669,1.4482316434449862,45704.21329165021,11426.053322912552,0.9158314160323976,63772.5735730869,5.111557307574577,49904.61398414555,12476.153496036388,76248.72706912328,2025,12476.153496036388,3.6633256641295904,population_weighted_mean
KABADOUGOU,MADINANI,27216.22,1.552472303439743,67238.69,16809.6725,0.9588602306324208,94454.91,5.387913225969426,70123.55696059311,17530.889240148277,111985.79924014828,2025,17530.889240148277,3.835440922529683,population_weighted_mean
KABADOUGOU,ODIENNE,58049.44,1.5361569393555121,148213.05,37053.2625,0.980537044201225,206262.49,5.458305116160412,151154.97254949587,37788.74313737397,244051.23313737396,2025,37788.74313737397,3.9221481768049,population_weighted_mean
PORO,M'BENGUE,36336.55,1.605453684688146,87143.3,21785.825,0.9625606454168358,123479.85,5.455696266355489,90532.78919611625,22633.197299029063,146113.04729902907,2025,22633.197299029063,3.8502425816673433,population_weighted_mean
PORO,SINEMATIALI,26379.55,2.0405462351856363,62064.87,15516.2175,1.2002312095523422,88444.42,6.841471073395004,51710.76164829003,12927.690412072507,101372.1104120725,2025,12927.690412072507,4.800924838209369,population_weighted_mean
TCHOLOGO,OUANGOLODOUGOU,64212.97,1.2264729672779089,179123.78,44780.945,0.8553197039734938,243336.75,4.647751783171883,209423.1889758394,52355.79724395985,295692.54724395985,2025,52355.79724395985,3.421278815893975,population_weighted_mean
BAFING,KORO,20680.978358554843,1.4090739496187805,51259.76416175754,12814.941040439386,0.8731308196797292,71940.74252031239,4.901597228337698,58708,14677,86617.74252031239,2026,14677,3.4925232787189167,population_weighted_mean
BAGOUE,BOUNDIALI,47729.63,1.2943979497749092,132635.71,33158.9275,0.8992495389705483,180365.34,4.891396105657102,147496,36874,217239.34,2026,36874,3.596998155882193,population_weighted_mean
BAGOUE,KOUTO,45478.58,1.41207128885025,89062.13,22265.5325,0.6913258763622815,134540.71000000002,4.177374794299377,128828,32207,166747.71000000002,2026,32207,2.765303505449126,population_weighted_mean
BAGOUE,TENGRELA,41485.95522467614,1.4090739496187805,102826.87037204235,25706.717593010588,0.8731308196797293,144312.8255967185,4.901597228337698,117768,29442,173754.8255967185,2026,29442,3.492523278718917,population_weighted_mean
FOLON,KANIASSO,25521.14737549535,1.4090739496187805,63256.58162415703,15814.145406039257,0.8731308196797293,88777.72899965238,4.901597228337698,72448,18112,106889.72899965238,2026,18112,3.492523278718917,population_weighted_mean
FOLON,MINIGNAN,18002.32878032954,1.4090739496187805,44620.477408912884,11155.119352228221,0.8731308196797293,62622.80618924242,4.901597228337698,51104,12776,75398.80618924243,2026,12776,3.492523278718917,population_weighted_mean
KABADOUGOU,MADINANI,25884.42,1.4418683155080212,57331.26,14332.815,0.7983965574866311,83215.68,4.635454545454545,71808,17952,101167.68,2026,17952,3.1935862299465243,population_weighted_mean
KABADOUGOU,ODIENNE,58426.7,1.5098899111019226,155786.96,38946.74,1.0064797395079594,214213.65999999997,5.53580886913376,154784,38696,252909.65999999997,2026,38696,4.025918958031838,population_weighted_mean
PORO,M'BENGUE,35672.27,1.5391901104590955,87645.42,21911.355,0.9454329910251985,123317.69,5.320922074559889,92704,23176,146493.69,2026,23176,3.781731964100794,population_weighted_mean
PORO,SINEMATIALI,26418.48,1.9956549327693005,62064.87,15516.2175,1.172096804653271,88483.35,6.684042151382385,52952,13238,101721.35,2026,13238,4.688387218613084,population_weighted_mean
TCHOLOGO,FERKESSEDOUGOU,45291.863962596464,1.4090739496187805,112260.17574786216,28065.04393696554,0.8731308196797293,157552.03971045863,4.901597228337698,128572,32143,189695.03971045863,2026,32143,3.492523278718917,population_weighted_mean
TCHOLOGO,OUANGOLODOUGOU,64404.67,1.2013107140192494,169003.01,42250.7525,0.7880838711482504,233407.68,4.3536461986122506,214448,53612,287019.68,2026,53612,3.1523354845930016,population_weighted_mean
WORODOUGOU,KANI,38763.62435401265,1.4090739496187805,96079.31539755741,24019.828849389352,0.8731308196797293,134842.93975157005,4.901597228337697,110040,27510,162352.93975157005,2026,27510,3.492523278718917,population_weighted_mean
BAFING,KORO,21301.40770931149,1.4173536302689127,52797.55708661027,13199.389271652568,0.8782613129052211,74098.96479592175,4.930398881889797,60116,15029,89127.96479592175,2027,15029,3.5130452516208845,population_weighted_mean
BAGOUE,BOUNDIALI,49161.518899999995,1.3019814852088243,136614.7813,34153.695325,0.9045180043168516,185776.3002,4.920053502476231,151036,37759,223535.3002,2027,37759,3.6180720172674063,population_weighted_mean
BAGOUE,KOUTO,46842.9374,1.4203437659187388,91733.9939,22933.498475,0.6953759392055792,138576.9313,4.201847522741055,131920,32980,171556.9313,2027,32980,2.7815037568223167,population_weighted_mean
BAGOUE,TENGRELA,42730.53388141642,1.4173118140374945,105911.67648320363,26477.919120800907,0.8782354015324192,148642.21036462006,4.930253420167172,120596,30149,178791.21036462006,2027,30149,3.5129416061296768,population_weighted_mean
FOLON,KANIASSO,26286.781796760213,1.4173063997821864,65154.27907288174,16288.569768220435,0.8782320465962385,91441.06086964195,4.93023458616714,74188,18547,109988.06086964195,2027,18547,3.512928186384954,population_weighted_mean
FOLON,MINIGNAN,18542.398643739427,1.4172895088083335,45959.09173118027,11489.772932795067,0.8782215801265052,64501.4903749197,4.930175829314354,52332,13083,77584.4903749197,2027,13083,3.512886320506021,population_weighted_mean
KABADOUGOU,MADINANI,26660.9526,1.4503047707120709,59051.1978,14762.79945,0.8030680220856226,85712.1504,4.662576859054561,73532,18383,104095.1504,2027,18383,3.2122720883424902,population_weighted_mean
KABADOUGOU,ODIENNE,60179.501,1.5187255772870663,160460.5688,40115.1422,1.0123695192429023,220640.0698,5.568203654258675,158500,39625,260265.0698,2027,39625,4.049478076971609,population_weighted_mean
PORO,M'BENGUE,36742.4381,1.5482234156413281,90274.7826,22568.69565,0.950981613433339,127017.2207,5.352149869374684,94928,23732,150749.2207,2027,23732,3.803926453733356,population_weighted_mean
PORO,SINEMATIALI,27211.0344,2.007305576866332,63926.816100000004,15981.704025000001,1.178939512024196,91137.8505,6.723063624963116,54224,13556,104693.8505,2027,13556,4.715758048096784,population_weighted_mean
TCHOLOGO,FERKESSEDOUGOU,46650.61988147436,1.4173488449132394,115627.98102029803,28906.995255074507,0.8782583476658719,162278.60090177238,4.930382235576727,131656,32914,195192.60090177238,2027,32914,3.5130333906634874,population_weighted_mean
TCHOLOGO,OUANGOLODOUGOU,66336.8101,1.2083427767354598,174073.10030000002,43518.275075000005,0.7926970450281426,240409.91040000002,4.37913095684803,219596,54899,295308.91040000005,2027,54899,3.1707881801125706,population_weighted_mean
WORODOUGOU,KANI,39926.53308463303,1.4173423175233593,98961.69485948414,24740.423714871034,0.8782543029773175,138888.22794411716,4.930359529432629,112680,28170,167058.22794411716,2027,28170,3.51301721190927,population_weighted_mean
HAMBOL,NIAKARAMADOUGOU,49032.397619097566,1.4173261343864016,121531.44279079916,30382.86069769979,0.8782442751177856,170563.84040989674,4.930303234857544,138380,34595,205158.84040989674,2027,34595,3.5129771004711423,population_weighted_mean
PORO,DIKODOUGOU,27531.56016045585,1.4173261343864016,68239.58017665194,17059.895044162986,0.8782442751177856,95771.14033710779,4.9303032348575435,77700,19425,115196.14033710779,2027,19425,3.5129771004711423,population_weighted_mean
BAFING,KORO,21940.449940590835,1.4256302755419645,54381.48379920858,13595.370949802145,0.8833899252632973,76321.93373979942,4.959189976595154,61560,15390,91711.93373979942,2028,15390,3.533559701053189,population_weighted_mean
BAGOUE,BOUNDIALI,50636.364467,1.309617599043062,140713.224739,35178.30618475,0.909822997148584,191349.589206,4.948909587637398,154660,38665,230014.589206,2028,38665,3.639291988594336,population_weighted_mean
BAGOUE,KOUTO,48248.225522,1.428645787101741,94486.01371700001,23621.503429250002,0.6994404663404596,142734.23923900002,4.22640765246358,135088,33772,176506.23923900002,2028,33772,2.7977618653618386,population_weighted_mean
BAGOUE,TENGRELA,44012.44989785891,1.4255967964842713,109089.02677769974,27272.256694424934,0.8833691800092293,153101.47667555866,4.9590735165211886,123492,30873,183974.47667555866,2028,30873,3.533476720036917,population_weighted_mean
FOLON,KANIASSO,27075.38525066302,1.4256205376296873,67108.9074450682,16777.22686126705,0.883383891178762,94184.29269573122,4.9591561023447355,75968,18992,113176.29269573122,2028,18992,3.533535564715048,population_weighted_mean
FOLON,MINIGNAN,19098.67060305161,1.4255930882325603,47337.86448311568,11834.46612077892,0.8833668821959334,66436.53508616729,4.959060617016294,53588,13397,79833.53508616729,2028,13397,3.5334675287837336,population_weighted_mean
KABADOUGOU,MADINANI,27460.781178,1.458817529643009,60822.733734,15205.6834335,0.807781737861241,88283.514912,4.689944481087973,75296,18824,107107.514912,2028,18824,3.231126951444964,population_weighted_mean
KABADOUGOU,ODIENNE,61984.88603,1.5276243599664827,165274.385864,41318.596466,1.0183013718947163,227259.271894,5.600829847545347,162304,40576,267835.271894,2028,40576,4.073205487578865,population_weighted_mean
PORO,M'BENGUE,37844.711243,1.557267354250679,92983.02607800001,23245.756519500002,0.9565367673236772,130827.73732100001,5.383414423545387,97208,24302,155129.73732100002,2028,24302,3.826147069294709,population_weighted_mean
PORO,SINEMATIALI,28027.365432000002,2.019117169656365,65844.62058300001,16461.155145750003,1.1858767484871409,93871.98601500002,6.7626241636049285,55524,13881,107752.98601500002,2028,13881,4.7435069939485635,population_weighted_mean
TCHOLOGO,FERKESSEDOUGOU,48050.1384779186,1.4256509161499702,119096.82045090698,29774.205112726744,0.8834027151889018,167146.95892882557,4.959261776905577,134816,33704,200850.95892882557,2028,33704,3.533610860755607,population_weighted_mean
TCHOLOGO,OUANGOLODOUGOU,68326.914403,1.2154137432271377,179295.29330900003,44823.82332725001,0.7973357405633529,247622.20771200003,4.404756705480549,224868,56217,303839.207712,2028,56217,3.1893429622534115,population_weighted_mean
WORODOUGOU,KANI,41124.32907717203,1.4256510114806915,101930.54570526867,25482.636426317167,0.8834027742604579,143054.8747824407,4.959262108522522,115384,28846,171900.8747824407,2028,28846,3.5336110970418315,population_weighted_mean
HAMBOL,NIAKARAMADOUGOU,50503.369547670496,1.4256420479229497,125177.38607452314,31294.346518630784,0.8833972200036918,175680.75562219362,4.959230927937717,141700,35425,211105.75562219362,2028,35425,3.5335888800147672,population_weighted_mean
PORO,DIKODOUGOU,28357.506965269527,1.4256451141355149,70286.7675819515,17571.691895487875,0.8833991199782754,98644.27454722102,4.959241594048616,79564,19891,118535.27454722102,2028,19891,3.5335964799131014,population_weighted_mean
BAFING,OUANINOU,17994.282076617026,1.4256284326269233,44600.532891422874,11150.133222855718,0.8833887833034162,62594.8149680399,4.959183565840588,50488,12622,75216.8149680399,2028,12622,3.5335551332136648,population_weighted_mean
BAFING,TOUBA,38010.10527069903,1.4256284326269233,94211.64696174272,23552.91174043568,0.8833887833034161,132221.75223244174,4.959183565840587,106648,26662,158883.75223244174,2028,26662,3.5335551332136643,population_weighted_mean
PORO,KORHOGO 1,157968.18410565887,1.4256284326269235,391539.11009087326,97884.77752271832,0.883388783303416,549507.2941965321,4.959183565840587,443224,110806,660313.2941965321,2028,110806,3.533555133213664,population_weighted_mean
PORO,KORHOGO 2,30555.494196492848,1.4256284326269233,75734.68717016847,18933.671792542118,0.8833887833034162,106290.18136666132,4.959183565840588,85732,21433,127723.18136666132,2028,21433,3.5335551332136648,population_weighted_mean
TONKPI,BIANKOUMA,91972.99270249333,1.4256284326269233,227963.77586414633,56990.94396603658,0.8833887833034161,319936.7685666396,4.959183565840587,258056,64514,384450.7685666396,2028,64514,3.5335551332136643,population_weighted_mean
